Matrix,Matrix %,Size1,RNF1 %,Size2,RNF2%,stiring time,stir speed mixing,temperature,Tensile Strength,BHN
2.0,94.0,30.0,6.0,0.0,0.0,10.0,500.0,720.0,160.0,100.0
2.0,100.0,0.05,0.0,0.0,0.0,10.0,700.0,750.0,90.0,84.0
2.0,97.0,0.05,3.0,0.0,0.0,10.0,700.0,750.0,90.0,100.0
2.0,94.0,0.05,6.0,0.0,0.0,10.0,700.0,750.0,90.0,108.0
2.0,91.0,0.05,9.0,0.0,0.0,10.0,700.0,750.0,90.0,120.0
2.0,88.0,0.05,12.0,0.0,0.0,10.0,700.0,750.0,90.0,124.0
2.0,100.0,37.0,0.0,0.0,0.0,20.0,750.0,850.0,310.0,21.0
2.0,97.0,37.0,3.0,0.0,0.0,20.0,750.0,850.0,360.0,23.0
2.0,95.0,37.0,5.0,0.0,0.0,20.0,750.0,850.0,420.0,25.0
2.0,93.0,37.0,7.0,0.0,0.0,20.0,750.0,850.0,440.0,28.0
2.0,100.0,40.0,0.0,40.0,0.0,10.0,300.0,800.0,70.0,76.0
2.0,96.0,40.0,4.0,40.0,0.0,10.0,300.0,800.0,90.0,78.0
2.0,96.0,40.0,0.0,40.0,4.0,10.0,300.0,800.0,85.0,80.0
2.0,92.0,40.0,4.0,40.0,4.0,10.0,300.0,800.0,100.0,98.0
2.0,100.0,40.0,0.0,0.0,0.0,10.0,500.0,750.0,130.0,60.0
2.0,95.0,40.0,5.0,0.0,0.0,10.0,500.0,750.0,150.0,70.0
2.0,100.0,70.0,0.0,0.05,0.0,10.0,300.0,700.0,119.0,95.83483412322272
2.0,94.0,71.0,3.0,1.05,3.0,10.0,300.0,700.0,134.0,95.83483412322272
2.0,91.0,72.0,3.0,2.05,6.0,10.0,300.0,700.0,202.0,95.83483412322272
2.0,88.0,73.0,3.0,3.05,9.0,10.0,300.0,700.0,182.0,95.83483412322272
2.0,85.0,74.0,3.0,4.05,12.0,10.0,300.0,700.0,156.0,95.83483412322272
2.0,100.0,25.0,0.0,0.0,0.0,5.0,500.0,850.0,146.0,62.5
2.0,97.5,25.0,2.5,0.0,0.0,5.0,500.0,850.0,157.0,76.2
2.0,95.0,25.0,5.0,0.0,0.0,5.0,500.0,850.0,76.45,84.5
2.0,100.0,0.04,0.0,0.0,0.0,10.0,400.0,710.0,90.0,83.0
2.0,97.0,0.04,3.0,0.0,0.0,10.0,400.0,710.0,90.0,95.0
2.0,94.0,0.04,6.0,0.0,0.0,10.0,400.0,710.0,90.0,121.0
2.0,91.0,0.04,9.0,0.0,0.0,10.0,400.0,710.0,90.0,184.0
2.0,100.0,37.0,0.0,0.0,0.0,10.0,500.0,720.0,96.92,70.0
2.0,96.0,37.0,1.0,0.0,3.0,10.0,500.0,720.0,100.69,72.0
2.0,96.0,37.0,2.0,0.0,2.0,10.0,500.0,720.0,115.005,78.0
2.0,96.0,37.0,3.0,0.0,1.0,10.0,500.0,720.0,125.19,84.0
2.0,100.0,26.0,0.0,0.0,0.0,10.0,600.0,780.0,125.0,68.0
2.0,98.0,26.0,2.0,0.0,0.0,10.0,600.0,780.0,143.0,75.0
2.0,96.0,26.0,4.0,0.0,0.0,10.0,600.0,780.0,164.0,81.0
2.0,100.0,0.045,0.0,0.0,0.0,15.0,450.0,700.0,200.0,60.0
2.0,99.5,0.045,0.5,0.0,0.0,15.0,450.0,700.0,250.0,80.0
2.0,99.0,0.045,1.0,0.0,0.0,15.0,450.0,700.0,300.0,110.0
2.0,98.5,0.045,1.5,0.0,0.0,15.0,450.0,700.0,350.0,150.0
2.0,100.0,50.0,0.0,50.0,0.0,8.0,500.0,720.0,90.0,40.0
2.0,94.0,50.0,2.0,50.0,4.0,8.0,500.0,720.0,116.0,50.0
2.0,92.0,50.0,4.0,50.0,4.0,8.0,500.0,720.0,130.0,57.0
2.0,92.0,50.0,2.0,50.0,6.0,8.0,500.0,720.0,140.0,65.0
2.0,100.0,37.0,0.0,0.0,0.0,10.0,500.0,700.0,160.0,28.0
2.0,95.0,37.0,5.0,0.0,0.0,10.0,500.0,700.0,178.0,28.3
2.0,87.0,37.0,5.0,37.0,8.0,10.0,500.0,700.0,180.0,30.5
2.0,87.0,37.0,5.0,53.0,8.0,10.0,500.0,700.0,174.0,29.7
2.0,87.0,37.0,5.0,75.0,8.0,10.0,500.0,700.0,169.0,28.9
2.0,97.0,45.0,2.0,40.0,1.0,6.0,500.0,850.0,62.86,67.0
2.0,95.0,45.0,2.0,40.0,3.0,6.0,500.0,850.0,70.0,68.0
2.0,93.0,45.0,2.0,40.0,5.0,6.0,500.0,850.0,110.0,71.0
2.0,96.0,45.0,3.0,40.0,1.0,6.0,500.0,850.0,118.0,75.0
2.0,94.0,45.0,3.0,40.0,3.0,6.0,500.0,850.0,122.0,72.0
2.0,92.0,45.0,3.0,40.0,5.0,6.0,500.0,850.0,144.0,76.0
2.0,95.0,45.0,4.0,40.0,1.0,6.0,500.0,850.0,94.0,77.0
2.0,93.0,45.0,4.0,40.0,3.0,6.0,500.0,850.0,150.0,77.0
2.0,91.0,45.0,4.0,40.0,5.0,6.0,500.0,850.0,160.0,81.0
2.0,100.0,37.0,0.0,0.0,0.0,10.0,650.0,750.0,106.1,28.0
